path_length,num_digits,num_letters,num_special_chars,num_slashes,num_dots,num_equals,num_quotes,num_percent,num_ampersand,has_query,query_length,status_code,is_2xx,is_3xx,is_4xx,is_5xx,response_size,log_response_size,parse_error,method_get,method_post,method_put,method_delete,path_entropy,contains_script,contains_sql_keyword,contains_traversal,contains_command,contains_ssrf,contains_log4shell,contains_sensitive_file,looks_like_scanner,suspicious_length,many_special_chars,label
17.0,0.0,14.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,404.0,0.0,0.0,1.0,0.0,602.0,6.401917196727186,0.0,1.0,0.0,0.0,0.0,3.85216872360328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
5.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,403.0,0.0,0.0,1.0,0.0,4940.0,8.50532301884575,0.0,1.0,0.0,0.0,0.0,2.321928094887362,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
34.0,0.0,21.0,8.0,5.0,6.0,1.0,0.0,0.0,0.0,1.0,24.0,200.0,1.0,0.0,0.0,0.0,1961.0,7.581719640125308,0.0,0.0,1.0,0.0,0.0,3.797042165340715,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
43.0,0.0,33.0,5.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,32.0,200.0,1.0,0.0,0.0,0.0,3722.0,8.222285073872717,0.0,1.0,0.0,0.0,0.0,4.126862359796814,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
10.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1.0,0.0,0.0,0.0,3086.0,8.034955024502159,0.0,1.0,0.0,0.0,0.0,2.9219280948873623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22.0,0.0,18.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,15.0,301.0,0.0,1.0,0.0,0.0,1135.0,7.035268599281097,0.0,1.0,0.0,0.0,0.0,4.004886164091843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15.0,0.0,12.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,200.0,1.0,0.0,0.0,0.0,5378.0,8.590257762273243,0.0,1.0,0.0,0.0,0.0,3.773557262275186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
17.0,0.0,14.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,200.0,1.0,0.0,0.0,0.0,5269.0,8.569785641535407,0.0,0.0,1.0,0.0,0.0,3.85216872360328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
15.0,0.0,12.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,403.0,0.0,0.0,1.0,0.0,4232.0,8.350666240520924,0.0,1.0,0.0,0.0,0.0,3.640223928941852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
35.0,1.0,24.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,27.0,403.0,0.0,0.0,1.0,0.0,4211.0,8.345692873253865,0.0,1.0,0.0,0.0,0.0,4.093149802473811,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0,1.0,0.0,0.0,4736.0,8.463159302923751,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0,1.0,0.0,0.0,4119.0,8.323608442343572,0.0,1.0,0.0,0.0,0.0,2.584962500721156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1.0,0.0,0.0,0.0,2406.0,7.786136437783072,0.0,1.0,0.0,0.0,0.0,3.1219280948873624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14.0,1.0,10.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,200.0,1.0,0.0,0.0,0.0,3454.0,8.14757773620177,0.0,1.0,0.0,0.0,0.0,3.6644977792004614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12.0,0.0,9.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1.0,0.0,0.0,0.0,5721.0,8.652073673610056,0.0,1.0,0.0,0.0,0.0,3.084962500721156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
25.0,0.0,21.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,15.0,200.0,1.0,0.0,0.0,0.0,3066.0,8.028455164114252,0.0,1.0,0.0,0.0,0.0,3.863465189601647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
15.0,0.0,12.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,200.0,1.0,0.0,0.0,0.0,1767.0,7.477604243197589,0.0,1.0,0.0,0.0,0.0,3.640223928941852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15.0,0.0,12.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,301.0,0.0,1.0,0.0,0.0,3286.0,8.097730573664219,0.0,1.0,0.0,0.0,0.0,3.506890595608519,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
17.0,1.0,12.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,404.0,0.0,0.0,1.0,0.0,2778.0,7.929846429742503,0.0,0.0,1.0,0.0,0.0,3.4992275471326924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0,1.0,0.0,0.0,3784.0,8.23880116587155,0.0,1.0,0.0,0.0,0.0,2.9219280948873623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1.0,0.0,0.0,0.0,1601.0,7.379008127628304,0.0,1.0,0.0,0.0,0.0,3.1219280948873624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,0.0,0.0,1.0,0.0,915.0,6.82001636467413,0.0,1.0,0.0,0.0,0.0,2.9219280948873623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15.0,0.0,12.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,404.0,0.0,0.0,1.0,0.0,3595.0,8.18757739559151,0.0,1.0,0.0,0.0,0.0,3.773557262275186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
43.0,0.0,33.0,5.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,32.0,200.0,1.0,0.0,0.0,0.0,401.0,5.996452088619021,0.0,1.0,0.0,0.0,0.0,4.126862359796814,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
14.0,0.0,11.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1.0,0.0,0.0,0.0,4849.0,8.48673398393153,0.0,0.0,1.0,0.0,0.0,3.0930692077718898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1.0,0.0,0.0,0.0,4046.0,8.305731144875866,0.0,0.0,1.0,0.0,0.0,2.584962500721156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15.0,0.0,12.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,404.0,0.0,0.0,1.0,0.0,5729.0,8.653470809708786,0.0,0.0,1.0,0.0,0.0,3.506890595608519,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1.0,0.0,0.0,0.0,4999.0,8.517193191416238,0.0,1.0,0.0,0.0,0.0,3.1219280948873624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15.0,0.0,12.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,404.0,0.0,0.0,1.0,0.0,1118.0,7.020190708311925,0.0,1.0,0.0,0.0,0.0,3.506890595608519,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
12.0,0.0,9.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,403.0,0.0,0.0,1.0,0.0,3453.0,8.147288258706624,0.0,0.0,1.0,0.0,0.0,3.084962500721156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
14.0,0.0,11.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,0.0,0.0,1.0,0.0,4691.0,8.453614209773367,0.0,1.0,0.0,0.0,0.0,3.0930692077718898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0,1.0,0.0,0.0,1521.0,7.3277805384216315,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1.0,0.0,0.0,0.0,5843.0,8.67317077287059,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0,1.0,0.0,0.0,924.0,6.829793737512425,0.0,1.0,0.0,0.0,0.0,2.9219280948873623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
43.0,0.0,33.0,5.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,32.0,404.0,0.0,0.0,1.0,0.0,1432.0,7.267525427828172,0.0,1.0,0.0,0.0,0.0,4.126862359796814,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
10.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0,1.0,0.0,0.0,5915.0,8.68541582383069,0.0,1.0,0.0,0.0,0.0,3.1219280948873624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15.0,0.0,12.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,200.0,1.0,0.0,0.0,0.0,4622.0,8.438799123988225,0.0,1.0,0.0,0.0,0.0,3.506890595608519,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1.0,0.0,0.0,0.0,2705.0,7.903226808730733,0.0,0.0,1.0,0.0,0.0,2.9219280948873623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0,1.0,0.0,0.0,1070.0,6.976348070447749,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17.0,1.0,12.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,200.0,1.0,0.0,0.0,0.0,4819.0,8.480529207044645,0.0,0.0,1.0,0.0,0.0,3.4992275471326924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
29.0,0.0,17.0,8.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,27.0,404.0,0.0,0.0,1.0,0.0,5124.0,8.54188580400661,0.0,0.0,1.0,0.0,0.0,4.237291339955158,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
14.0,0.0,11.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1.0,0.0,0.0,0.0,5767.0,8.660080678964786,0.0,1.0,0.0,0.0,0.0,3.0930692077718898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17.0,0.0,14.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,200.0,1.0,0.0,0.0,0.0,3878.0,8.263332667439967,0.0,1.0,0.0,0.0,0.0,3.85216872360328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
8.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1.0,0.0,0.0,0.0,2199.0,7.696212639346407,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17.0,0.0,14.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,403.0,0.0,0.0,1.0,0.0,4903.0,8.497806477616047,0.0,1.0,0.0,0.0,0.0,3.85216872360328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
5.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,0.0,0.0,1.0,0.0,5887.0,8.680671660408713,0.0,1.0,0.0,0.0,0.0,2.321928094887362,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
